predicted.protein.intensity.log2.0h	predicted.protein.intensity.log2.1h	predicted.protein.intensity.log2.2h	predicted.protein.intensity.log2.3h	predicted.protein.intensity.log2.4h	predicted.protein.intensity.log2.5h	predicted.protein.intensity.log2.6h	predicted.protein.intensity.log2.7h	predicted.protein.intensity.log2.8h	predicted.protein.intensity.log2.14h	predicted.protein.intensity.log2.19h	predicted.protein.intensity.log2.24h
Hba-x	27.8000436092804	27.2082106426788	26.9881080620133	27.3337795387833	27.1570262355838	26.0591174449898	24.933597682099	25.252203535325	26.8211036404992	28.2756794417842	28.7232845124737	25.5763530848103
Hbb-b2	25.5394532069607	26.2612062680478	26.7836462848546	26.9537131836326	27.6215094591346	28.6068828005106	28.7140098555397	28.6816918659271	28.8718489125657	31.6693032658603	32.5524196381275	34.3229855198217
Hbb-bh1	22.422559813117	23.5852750198501	24.299230771462	24.5394593802725	24.9642040197418	25.7352799739524	25.7485328001244	25.8011148486517	26.0385904232702	29.1741238759343	29.8845174917721	29.2751831309147
Hmbs	28.5691447017002	28.5752135840339	28.5712048922329	28.5908234719106	28.4858486761146	28.5397363581925	28.8230550325156	29.2012110210448	29.5977127202057	29.9920433272467	30.6299135990312	30.5917436710565
Hsf1	22.5298780737839	21.8395836252182	21.5955600661769	21.9097740919904	22.1480487039584	21.9918217058966	21.9945626387997	22.0524852281903	22.0489537331932	20.472379983823	20.3299910301758	19.4338933315942
Ino80	21.2267809379058	20.4848829152412	20.1560588915875	20.4170677307282	20.5822851954945	20.7933404662708	21.0448615517603	20.9738660172019	20.2770791024608	18.3664363929909	19.5481671681448	16.9094626683836
Jak2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Larp4	25.6324329185818	24.4784539313094	24.3130746724194	25.1822306888087	25.6753493085619	25.2961836246238	25.2352189776844	24.9984878192946	24.4086502117631	22.4239708695035	21.3041288408598	18.7770727382017
Larp7	24.4078208019415	23.9767490742123	23.7623032464058	23.7663209737664	23.6880309173163	23.3756670573535	23.5418775838422	23.851166720865	24.2323528534177	22.8690320072606	22.4303871416354	20.5387248153812
Lmnb1	29.7538753885559	29.8346228990282	29.7093526921793	29.1907390636952	28.7181943319553	28.6751606870641	29.1343069495904	29.3104214290037	29.3822202525945	27.4973528026553	27.0986892964085	26.0042752153715
Lsm11	18.6274078086726	17.8706288557542	17.8280529243722	18.362023844818	18.0089574271026	17.5618003452598	17.7764853026321	17.7962588546263	17.5010303300379	17.0874684185609	17.1211154529798	16.5700952635051
Mapk3	24.534434339304	23.8798792529811	23.4973338604692	23.3681179647879	23.1606679495653	22.9366811794259	23.2456072038778	23.5385989238904	23.7853700157904	23.9789755334905	25.090075374326	25.7506439057369
Mif	24.4085493138393	24.0149612621974	23.8994835852344	24.0395233591245	23.9717479045862	23.6847226244457	23.7427571079964	23.7018016802967	23.5312187134296	22.6752888751043	21.3466636359157	19.0404702557342
Nr3c1	23.4837967336395	21.2099723242342	20.3168030675865	21.1303140468161	21.5828470617243	20.5303653423517	20.0684531185232	20.0149377296204	19.9095709104642	19.1811934563118	18.0894829079557	16.1375939627073
Pcid2	22.7736616243492	22.2130399946239	21.9344091224031	22.0702482576613	22.085278634647	21.8411220372371	22.0219331513815	22.2317354687045	22.2989757021894	20.3809363686937	19.0834426911825	16.2620333061499
Pdzd8	23.6416841253151	22.1984196929795	21.8988926003391	22.8663478847646	22.1691824781426	20.887848364907	20.739251583522	21.3820416684225	22.2615522952424	19.8938570700231	18.7272591505478	16.2176035797474
Ppox	23.3152361964292	23.1728453903993	23.28764546496	23.6619607495299	24.0540274469537	23.7376730583813	24.0808418956192	24.5291877531196	25.0162283387307	26.5002288665834	27.4335530461237	27.541097837063
Prpf40a	26.9183895962955	26.0715888708777	25.4647701663145	25.2785993077906	25.5110555490428	25.4039265755526	25.7163700250645	26.1971822112954	26.739593787449	25.0574200129113	24.5334359580768	22.7087434374293
Ptbp3	24.4792175353628	24.7114424367438	24.7705235368092	24.6423411983391	24.3161459456187	24.0687201949385	24.6159928837572	24.7508718250672	24.4257866049502	24.6576544213853	26.5549222270094	27.4864919611083
Ptpn6	29.9403236408193	28.2207982388812	26.7702425844291	25.5571615381699	24.1664421688892	23.8080386526054	24.9433464419394	25.2975251052682	24.6457701481409	20.6244403262163	18.6149945584553	22.1024703715994
Pxn	19.7126514489118	18.9716524478872	18.6229158205381	18.7594354016731	18.4987748351037	18.1436559488379	18.490442916874	18.7428420402078	18.647984731655	16.5797101926489	16.0251782930404	14.8818360563583
Rac1	28.0683185564549	27.2644731763188	26.955359565989	27.0968585118595	26.9166659131989	26.6865245821375	26.8806594683423	26.6486183531676	25.9212892935424	24.9004946630742	25.8913898790213	25.8161868295624
Rps6kb1	22.6347341371441	22.3965841038909	22.2572607827602	22.1753344289248	22.2602760506245	22.2601689513464	22.6036099823474	22.6200770220979	22.3232757851154	21.6042289673651	21.5223997269755	20.3091210919757
Sh3kbp1	22.141100096992	21.0532307560811	20.6043749213227	20.9189958921021	20.7840515787552	20.1703005651864	20.345438312481	20.3761938757721	20.0959823977896	18.4774087902666	18.7375974147981	20.1238108083794
Slc4a1	26.1496495244748	26.0219474614324	26.2930718229863	26.8905629375302	27.3693376607304	27.4053114194501	27.5272268358195	27.6643584600197	27.8191429014308	28.7729241748111	29.2391847616409	29.3935198168376
Smap1	21.9531227584145	22.2274408667753	22.4445756787605	22.4942610079551	22.0945188092666	21.7232355089465	22.2626251588391	23.039986875526	23.9112145665838	23.9814362724542	24.6074281604712	23.947381131726
Snx3	25.01864781881	25.1797170198419	25.2876348649709	25.3312999773535	25.2190416059809	25.0450867770202	25.1525193494553	25.3496573875465	25.5953312244377	25.5840169687346	25.8947931798789	25.9448609011359
Spta1	27.5950633372846	26.4160187138216	26.5451050551217	28.1896768785998	29.5006323045203	28.758864479587	29.3473867401708	29.8518855696768	29.7880498738854	32.6141379102198	33.767951745894	34.7146250259271
Srpk2	21.6927319325792	20.7617728769655	20.1608806402856	20.2916836811861	20.8750023175002	19.9448318972334	18.9453166285026	18.8889164002311	19.5166149315541	18.5789867659972	18.8983052938777	17.8367728664715
